run_id,round,client_id,Data_Distribution,Computation_Time,Quality_Factor,cpu_utilization,memory_utilization,memory_used_mb,gpu_memory_used_mb,gpu_utilization,availability_flag,dataset,task_type,model_type,learning_rate,batch_size,local_epochs
mnist_123_20251105_190127,3,client_9,"{0: 320, 1: 362, 2: 365, 3: 343, 4: 351, 5: 328, 6: 358, 7: 347, 8: 337, 9: 311}",1.20872163772583,0.904699981212616,16.3,66.6,21628.234375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_10,"{0: 340, 1: 407, 2: 343, 3: 333, 4: 348, 5: 284, 6: 318, 7: 365, 8: 345, 9: 339}",1.2407071590423584,0.909500002861023,14.05,66.6,21643.81640625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_11,"{0: 347, 1: 395, 2: 319, 3: 321, 4: 345, 5: 290, 6: 361, 7: 362, 8: 330, 9: 352}",1.1581742763519287,0.90829998254776,16.05,66.65,21656.30859375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_12,"{0: 321, 1: 358, 2: 367, 3: 352, 4: 337, 5: 313, 6: 339, 7: 360, 8: 333, 9: 342}",1.2885644435882568,0.9121999740600586,19.05,66.55000000000001,21599.23046875,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_13,"{0: 343, 1: 399, 2: 322, 3: 336, 4: 349, 5: 290, 6: 322, 7: 333, 8: 390, 9: 338}",1.252368688583374,0.9108999967575073,12.55,66.5,21618.4765625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_14,"{0: 334, 1: 437, 2: 336, 3: 341, 4: 347, 5: 326, 6: 309, 7: 335, 8: 326, 9: 331}",1.1974775791168213,0.9139000177383423,17.65,66.6,21628.265625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_15,"{0: 348, 1: 382, 2: 339, 3: 317, 4: 328, 5: 320, 6: 321, 7: 363, 8: 363, 9: 341}",1.2365167140960693,0.9103000164031982,14.9,66.6,21642.78515625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_16,"{0: 366, 1: 417, 2: 355, 3: 336, 4: 343, 5: 285, 6: 323, 7: 343, 8: 312, 9: 342}",1.1527409553527832,0.9125000238418579,16.3,66.6,21653.18359375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_17,"{0: 327, 1: 410, 2: 340, 3: 363, 4: 328, 5: 303, 6: 337, 7: 340, 8: 313, 9: 361}",1.2549097537994385,0.9142000079154968,15.55,66.7,21668.06640625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_18,"{0: 343, 1: 354, 2: 380, 3: 327, 4: 338, 5: 303, 6: 355, 7: 375, 8: 305, 9: 342}",1.2106132507324219,0.9118000268936157,14.5,66.75,21686.17578125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_19,"{0: 326, 1: 410, 2: 337, 3: 355, 4: 286, 5: 322, 6: 331, 7: 384, 8: 323, 9: 348}",1.1742839813232422,0.9136999845504761,14.55,66.8,21704.2734375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_20,"{0: 358, 1: 414, 2: 347, 3: 348, 4: 341, 5: 296, 6: 308, 7: 366, 8: 310, 9: 334}",1.2584402561187744,0.9120000004768372,14.2,66.85,21723.8828125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,4,client_1,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.5585792064666748,0.9146000146865845,13.3,66.7,21677.703125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,4,client_2,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.4843282699584961,0.897599995136261,11.9,66.7,21695.04296875,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,4,client_3,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7143044471740723,0.9160000085830688,16.65,66.8,21699.9453125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,4,client_4,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.42018699645996094,0.9154999852180481,12.6,66.8,21713.1484375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
