Client,Round,Computation_Time,Quality_Factor,Data_Distribution,Reliability_Score,DUM,SUM,HQS,SRS
client_9,6,0.6818943023681641,0.7652000188827515,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,6,0.7826035022735596,0.7426000237464905,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,6,0.7759745121002197,0.7059000134468079,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,6,0.8122503757476807,0.7774999737739563,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,6,0.7993090152740479,0.7617999911308289,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
client_14,6,0.7900862693786621,0.7264000177383423,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,6,0.7373464107513428,0.7319999933242798,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,6,0.7485153675079346,0.7605000138282776,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,6,0.7520933151245117,0.714900016784668,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,1,1
client_18,6,0.8046183586120605,0.7677000164985657,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,1,1
client_19,6,0.8244824409484863,0.7807000279426575,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,0,1
client_20,6,0.80973219871521,0.7541999816894531,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,1,1
client_1,7,0.529193639755249,0.703000009059906,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,7,0.534149169921875,0.7559000253677368,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,1,1
client_3,7,1.1194484233856201,0.7742999792098999,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,7,0.45645976066589355,0.7728000283241272,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,7,2.3948066234588623,0.7396000027656555,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,7,0.7500038146972656,0.781000018119812,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,0,1
client_7,7,0.7447905540466309,0.758899986743927,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,1,1
client_8,7,0.6990385055541992,0.7784000039100647,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,7,0.675311803817749,0.7002000212669373,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,7,0.6667039394378662,0.7767999768257141,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,7,0.6674628257751465,0.7199000120162964,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,7,0.67897629737854,0.7646999955177307,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,7,0.6716532707214355,0.704200029373169,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
